id,average_rate,favorite_count,total_sales,recommend_score
8,4.0,6,8.0,28.0
9,3.9,6,6.0,25.8
10,3.7,0,8.0,15.4
11,3.8,24,60.0,115.6
12,3.9,0,4.0,11.8
13,3.4,15,30.0,66.8
15,3.9,0,4.0,11.8
16,4.4,15,21.0,59.8
17,4.3,10,18.0,46.6
18,4.0,9,9.0,35.0
19,4.3,3,7.0,21.6
20,4.5,0,2.0,11.0
21,4.4,8,16.0,40.8
22,4.4,16,38.0,78.8
28,3.7,0,2.0,9.4
29,4.3,0,6.0,14.6
30,4.2,0,5.0,13.4
31,4.1,4,5.0,21.2
32,4.5,12,14.0,47.0
33,4.6,6,9.0,30.2
34,4.7,2,2.0,15.4
35,4.2,0,4.0,12.4
36,4.2,3,3.0,17.4
37,4.0,8,11.0,35.0
38,3.9,22,34.0,85.8
39,4.3,7,10.0,32.6
40,4.3,6,7.0,27.6
41,3.7,0,8.0,15.4
42,4.3,36,72.0,152.6
43,4.1,30,60.0,128.2
44,3.8,0,18.0,25.6
45,4.5,16,20.0,61.0
46,4.3,10,10.0,38.6
47,4.0,2,6.0,18.0
48,3.8,0,4.0,11.6
49,4.1,4,7.0,23.2
50,4.2,5,10.0,28.4
51,4.4,8,15.0,39.8
52,4.5,8,16.0,41.0
53,3.3,9,16.0,40.6
54,4.5,7,15.0,38.0
55,4.3,4,7.0,23.6
56,3.9,0,6.0,13.8
57,3.9,7,12.0,33.8
58,4.4,7,21.0,43.8
59,4.4,7,15.0,37.8
60,4.4,7,11.0,33.8
61,4.9,2,5.0,18.8
62,4.5,4,9.0,26.0
63,4.3,6,15.0,35.6
64,0.0,0,,
65,4.3,2,4.0,16.6
66,4.0,0,1.0,9.0
67,0.0,0,,
68,4.3,0,1.0,9.6
